"","Cantidad_TGC_1","Cantidad_TGC_2","Respuesta_A","Respuesta_B","Direccion","Separacion","correctas_A","correctas_B","correctas"
"8441","1","1","1","1","45",5,1,1,1
"8442","2","1","2","1","0",8,1,1,1
"8443","2","1","2","1","135",8,1,1,1
"8444","3","1","2","2","0",17,0,0,0
"8445","1","0","1","0","135",3,1,1,1
"8446","1","2","2","1","135",20,0,0,0
"8447","1","0","0","1","0",20,0,0,0
"8448","0","1","0","1","135",11,1,1,1
"8449","2","0","2","0","90",3,1,1,1
"8450","1","1","1","1","90",3,1,1,1
"8451","1","0","1","0","135",20,1,1,1
"8452","2","3","2","2","0",20,1,0,0
"8453","1","0","1","0","90",8,1,1,1
"8454","1","1","1","2","0",20,1,0,0
"8455","1","1","1","1","45",5,1,1,1
"8456","1","0","2","0","45",5,0,1,0
"8457","1","2","1","1","90",14,1,0,0
"8458","0","1","0","1","0",20,1,1,1
"8459","0","2","1","0","90",17,0,0,0
"8460","2","3","2","3","135",11,1,1,1
"8461","2","0","2","0","45",5,1,1,1
"8462","3","2","3","2","90",5,1,1,1
"8463","0","2","2","0","45",17,0,0,0
"8464","2","1","1","1","45",20,0,1,0
"8465","1","1","2","1","135",17,0,1,0
"8466","1","2","1","2","45",11,1,1,1
"8467","2","0","2","0","45",14,1,1,1
"8468","2","1","2","1","0",8,1,1,1
"8469","2","2","2","2","0",11,1,1,1
"8470","1","0","1","0","45",3,1,1,1
"8471","1","2","2","0","135",17,0,0,0
"8472","2","1","2","1","45",3,1,1,1
"8473","1","0","1","0","90",5,1,1,1
"8474","1","2","1","2","45",11,1,1,1
"8475","0","1","0","1","90",5,1,1,1
"8476","0","1","0","1","0",14,1,1,1
"8477","0","1","0","1","90",17,1,1,1
"8478","1","1","1","1","45",11,1,1,1
"8479","1","2","2","1","90",11,0,0,0
"8480","1","0","1","0","45",8,1,1,1
"8481","0","1","0","1","0",8,1,1,1
"8482","1","1","1","1","135",11,1,1,1
"8483","2","1","2","1","135",5,1,1,1
"8484","2","0","2","0","0",11,1,1,1
"8485","0","0","0","0","90",11,1,1,1
"8486","2","1","2","1","45",3,1,1,1
"8487","0","1","0","0","45",14,1,0,0
"8488","1","1","1","1","45",5,1,1,1
"8489","2","2","2","2","90",3,1,1,1
"8490","0","1","0","1","135",3,1,1,1
"8491","0","1","0","1","0",5,1,1,1
"8492","1","3","1","2","45",3,1,0,0
"8493","1","1","1","1","135",5,1,1,1
"8494","2","0","2","0","0",11,1,1,1
"8495","3","3","2","1","90",14,0,0,0
"8496","1","0","1","0","0",17,1,1,1
"8497","1","1","1","1","135",17,1,1,1
"8498","0","0","0","0","90",8,1,1,1
"8499","1","3","1","2","90",14,1,0,0
"8500","0","3","1","2","90",20,0,0,0
"8501","2","0","2","0","45",17,1,1,1
"8502","2","2","0","2","0",11,0,1,0
"8503","1","1","1","0","45",17,1,0,0
"8504","1","1","2","1","45",8,0,1,0
"8505","2","1","2","1","45",5,1,1,1
"8506","1","1","1","1","135",5,1,1,1
"8507","0","0","0","0","45",14,1,1,1
"8508","1","2","1","2","45",17,1,1,1
"8509","0","3","1","3","135",14,0,1,0
"8510","2","1","2","1","0",8,1,1,1
"8511","2","1","2","1","135",8,1,1,1
"8512","0","0","0","0","45",5,1,1,1
"8513","3","0","3","0","135",3,1,1,1
"8514","2","1","2","0","90",20,1,0,0
"8515","1","1","1","1","0",5,1,1,1
"8516","2","1","2","1","90",5,1,1,1
"8517","0","1","0","1","90",5,1,1,1
"8518","1","0","1","0","90",11,1,1,1
"8519","0","2","0","1","135",20,1,0,0
"8520","1","1","1","1","0",5,1,1,1
"8521","1","1","1","1","135",3,1,1,1
"8522","0","1","0","1","45",8,1,1,1
"8523","0","0","0","0","0",20,1,1,1
"8524","2","1","2","1","90",14,1,1,1
"8525","1","1","2","1","135",14,0,1,0
"8526","2","1","2","1","90",11,1,1,1
"8527","2","2","1","2","90",3,0,1,0
"8528","1","0","1","0","90",14,1,1,1
"8529","1","1","2","1","135",14,0,1,0
"8530","2","1","2","1","135",11,1,1,1
"8531","0","0","0","0","45",3,1,1,1
"8532","1","1","1","1","45",11,1,1,1
"8533","1","3","1","3","0",8,1,1,1
"8534","0","1","0","1","135",8,1,1,1
"8535","1","1","2","1","135",11,0,1,0
"8536","0","3","0","3","135",8,1,1,1
"8537","2","0","2","0","45",3,1,1,1
"8538","2","2","2","2","0",3,1,1,1
"8539","2","1","2","0","90",20,1,0,0
"8540","3","2","3","1","90",20,1,0,0
"8541","1","0","1","0","135",11,1,1,1
"8542","0","1","0","1","45",3,1,1,1
"8543","2","0","3","0","90",11,0,1,0
"8544","1","2","1","2","90",3,1,1,1
"8545","2","0","2","0","0",3,1,1,1
